Site,Status,Most Probable Number (MPN) of Enterococcus colonies per 100 ml,Year
"Bronx Kill, east end",Acceptable,20,2014
"Bronx Kill, east end",High,1396,2014
"Bronx Kill, east end",High,275,2014
"Bronx Kill, east end",High,132,2014
"Bronx Kill, east end",High,15531,2014
"Bronx Kill, east end",High,213,2014
"Bronx Kill, east end",High,211,2014
"Bronx Kill, east end",High,216,2014
"Bronx Kill, east end",High,109,2014
"Bronx Kill, east end",Acceptable,10,2014
"Bronx Kill, east end",High,246,2014
"Bronx Kill, east end",Unacceptable if levels persist,52,2014
"Bronx Kill, east end",High,839,2014
"Bronx Kill, east end",High,246,2014
"Bronx Kill, east end",High,185,2014
"Bronx Kill, east end",Unacceptable if levels persist,52,2015
"Bronx Kill, east end",Acceptable,30,2015
"Bronx Kill, east end",Acceptable,10,2015
"Bronx Kill, east end",Unacceptable if levels persist,63,2015
"Bronx Kill, east end",High,2489,2015
"Bronx Kill, east end",Acceptable,10,2015
"Bronx Kill, east end",Acceptable,31,2015
"Bronx Kill, east end",Acceptable,10,2015
"Bronx Kill, east end",Acceptable,20,2015
"Bronx Kill, east end",Acceptable,31,2015
"Bronx Kill, east end",Unacceptable if levels persist,41,2015
"Bronx Kill, east end",Acceptable,31,2015
"Bronx Kill, east end",Unacceptable if levels persist,86,2015
"Bronx Kill, east end",Acceptable,30,2016
"Bronx Kill, east end",Unacceptable if levels persist,52,2016
"Bronx Kill, east end",High,146,2016
"Bronx Kill, east end",Unacceptable if levels persist,63,2016
"Bronx Kill, east end",High,153,2016
"Bronx Kill, east end",Acceptable,31,2016
"Bronx Kill, east end",High,169,2016
"Bronx Kill, east end",Acceptable,30,2016
"Bronx Kill, east end",High,155,2016
"Bronx Kill, east end",High,183,2016
"Bronx Kill, east end",Acceptable,10,2016
"Bronx Kill, east end",High,663,2016
"Bronx Kill, east end",Unacceptable if levels persist,72,2016
"Bronx Kill, east end",Unacceptable if levels persist,41,2016
"Bronx Kill, east end",Unacceptable if levels persist,95,2016
"Bronx Kill, east end",Unacceptable if levels persist,41,2016
"Bronx Kill, east end",High,238,2016
"Bronx Kill, east end",Acceptable,20,2016
"Bronx Kill, east end",High,121,2016
"Bronx Kill, east end",High,246,2017
"Bronx Kill, east end",Unacceptable if levels persist,52,2017
"Bronx Kill, east end",High,291,2017
"Bronx Kill, east end",Unacceptable if levels persist,86,2017
"Bronx Kill, east end",High,1127,2017
"Bronx Kill, east end",High,106,2017
"Bronx Kill, east end",High,119,2017
"Bronx Kill, east end",High,933,2017
"Bronx Kill, east end",High,723,2017
"Bronx Kill, east end",High,1842,2017
"Bronx Kill, east end",High,226,2017
"Bronx Kill, east end",High,6893,2017
"Bronx Kill, east end",High,272,2017
"Bronx Kill, east end",High,1222,2017
"Bronx Kill, east end",High,399,2017
"Bronx Kill, east end",Unacceptable if levels persist,41,2017
"Bronx Kill, east end",Acceptable,31,2018
"Bronx Kill, east end",Acceptable,30,2018
"Bronx Kill, east end",High,160,2018
"Bronx Kill, east end",High,1467,2018
"Bronx Kill, east end",High,8664,2018
"Bronx Kill, east end",Unacceptable if levels persist,63,2018
"Bronx Kill, east end",Acceptable,31,2018
"Bronx Kill, east end",High,957,2018
"Bronx Kill, east end",High,3255,2018
"Bronx Kill, east end",High,1658,2018
"Bronx Kill, east end",High,2489,2018
"Bronx Kill, east end",Unacceptable if levels persist,70,2018
"Bronx Kill, east end",High,107,2018
"Bronx Kill, east end",High,195,2018
"Bronx Kill, east end",High,1162,2018
"Bronx Kill, east end",High,3441,2018
"Bronx Kill, east end",High,985,2018
"Bronx Kill, east end",High,934,2019
"Bronx Kill, east end",High,399,2019
"Bronx Kill, east end",High,135,2019
"Bronx Kill, east end",Unacceptable if levels persist,74,2019
"Bronx Kill, east end",Unacceptable if levels persist,73,2019
"Bronx Kill, east end",Unacceptable if levels persist,98,2019
"Bronx Kill, east end",High,110,2019
"Bronx Kill, east end",High,2809,2019
"Bronx Kill, east end",High,624,2019
"Bronx Kill, east end",High,158,2019
"Bronx Kill, east end",Acceptable,31,2019
"Bronx Kill, east end",Unacceptable if levels persist,93,2019
"Bronx Kill, east end",Unacceptable if levels persist,41,2019
"Bronx Kill, east end",High,281,2019
"Bronx Kill, east end",High,2495,2019
"Bronx Kill, west end",High,833,2012
"Bronx Kill, west end",High,203,2012
"Bronx Kill, west end",High,4352,2012
"Bronx Kill, west end",High,246,2012
"Bronx Kill, west end",Unacceptable if levels persist,41,2012
"Bronx Kill, west end",High,2909,2012
"Bronx Kill, west end",Acceptable,20,2012
"Bronx Kill, west end",Unacceptable if levels persist,63,2012
"Bronx Kill, west end",High,120,2012
"Bronx Kill, west end",Unacceptable if levels persist,63,2012
"Bronx Kill, west end",High,3784,2012
"Bronx Kill, west end",High,233,2014
"Bronx Kill, west end",Unacceptable if levels persist,63,2014
"Bronx Kill, west end",High,317,2014
"Bronx Kill, west end",Unacceptable if levels persist,63,2014
"Bronx Kill, west end",Acceptable,31,2014
"Bronx Kill, west end",Unacceptable if levels persist,63,2014
"Bronx Kill, west end",High,1274,2014
"Bronx Kill, west end",High,1223,2014
"Bronx Kill, west end",High,228,2014
"Bronx Kill, west end",Unacceptable if levels persist,98,2014
"Bronx Kill, west end",High,110,2014
"Bronx Kill, west end",Acceptable,20,2014
"Bronx Kill, west end",Unacceptable if levels persist,63,2014
"Bronx Kill, west end",High,122,2014
"Bronx Kill, west end",High,528,2014
"Bronx Kill, west end",High,201,2015
"Bronx Kill, west end",High,1376,2015
"Bronx Kill, west end",High,460,2015
"Bronx Kill, west end",High,1076,2015
"Bronx Kill, west end",High,272,2015
"Bronx Kill, west end",High,1607,2015
"Bronx Kill, west end",High,512,2015
"Bronx Kill, west end",High,305,2015
"Bronx Kill, west end",Unacceptable if levels persist,41,2015
"Bronx Kill, west end",Acceptable,31,2015
"Bronx Kill, west end",Unacceptable if levels persist,52,2015
"Bronx Kill, west end",Acceptable,31,2015
"Bronx Kill, west end",Acceptable,10,2015
"Bronx Kill, west end",Unacceptable if levels persist,74,2015
"Bronx Kill, west end",Acceptable,10,2015
"Bronx Kill, west end",High,17329,2015
"Bronx Kill, west end",Unacceptable if levels persist,52,2016
"Bronx Kill, west end",High,487,2016
"Bronx Kill, west end",High,173,2016
"Bronx Kill, west end",Unacceptable if levels persist,52,2016
"Bronx Kill, west end",Acceptable,31,2016
"Bronx Kill, west end",High,1624,2016
"Bronx Kill, west end",High,448,2016
"Bronx Kill, west end",High,4611,2016
"Bronx Kill, west end",High,146,2016
"Bronx Kill, west end",High,657,2016
"Bronx Kill, west end",High,231,2016
"Bronx Kill, west end",Acceptable,10,2016
"Bronx Kill, west end",Unacceptable if levels persist,63,2016
"Bronx Kill, west end",Unacceptable if levels persist,41,2016
"Bronx Kill, west end",Acceptable,10,2016
"Bronx Kill, west end",High,226,2016
"Bronx Kill, west end",Unacceptable if levels persist,62,2016
"Bronx Kill, west end",High,199,2016
"Bronx Kill, west end",High,135,2016
"Bronx Kill, west end",High,1106,2017
"Bronx Kill, west end",Unacceptable if levels persist,85,2017
"Bronx Kill, west end",High,1723,2017
"Bronx Kill, west end",Unacceptable if levels persist,72,2017
"Bronx Kill, west end",High,305,2017
"Bronx Kill, west end",High,2064,2017
"Bronx Kill, west end",High,132,2017
"Bronx Kill, west end",Unacceptable if levels persist,41,2017
"Bronx Kill, west end",High,2987,2017
"Bronx Kill, west end",High,771,2017
"Bronx Kill, west end",High,336,2017
"Bronx Kill, west end",High,131,2017
"Bronx Kill, west end",High,146,2017
"Bronx Kill, west end",Unacceptable if levels persist,85,2017
"Bronx Kill, west end",Unacceptable if levels persist,85,2017
"Bronx Kill, west end",Unacceptable if levels persist,52,2017
"Bronx Kill, west end",Acceptable,20,2018
"Bronx Kill, west end",Acceptable,20,2018
"Bronx Kill, west end",High,459,2018
"Bronx Kill, west end",High,10462,2018
"Bronx Kill, west end",High,2046,2018
"Bronx Kill, west end",Unacceptable if levels persist,74,2018
"Bronx Kill, west end",High,633,2018
"Bronx Kill, west end",High,195,2018
"Bronx Kill, west end",High,840,2018
"Bronx Kill, west end",High,1222,2018
"Bronx Kill, west end",High,1904,2018
"Bronx Kill, west end",High,2282,2018
"Bronx Kill, west end",High,122,2018
"Bronx Kill, west end",High,122,2018
"Bronx Kill, west end",High,1961,2018
"Bronx Kill, west end",High,201,2018
"Bronx Kill, west end",High,5247,2018
"Bronx Kill, west end",High,1396,2018
"Bronx Kill, west end",High,301,2019
"Bronx Kill, west end",High,2851,2019
"Bronx Kill, west end",High,393,2019
"Bronx Kill, west end",High,1092,2019
"Bronx Kill, west end",High,173,2019
"Bronx Kill, west end",High,120,2019
"Bronx Kill, west end",High,2224,2019
"Bronx Kill, west end",High,12997,2019
"Bronx Kill, west end",High,223,2019
"Bronx Kill, west end",Unacceptable if levels persist,86,2019
"Bronx Kill, west end",Acceptable,20,2019
"Bronx Kill, west end",Unacceptable if levels persist,63,2019
"Bronx Kill, west end",Unacceptable if levels persist,41,2019
"Bronx Kill, west end",Acceptable,10,2019
"Bronx Kill, west end",High,246,2019
"Bronx River, Bronx Botanical Gardens",High,228,2014
"Bronx River, Bronx Botanical Gardens",High,110,2014
"Bronx River, Bronx Botanical Gardens",High,443,2014
"Bronx River, Bronx Botanical Gardens",Acceptable,20,2014
"Bronx River, Bronx Botanical Gardens",High,269,2014
"Bronx River, Bronx Botanical Gardens",High,496,2014
"Bronx River, Bronx Botanical Gardens",High,345,2014
"Bronx River, Bronx Botanical Gardens",Acceptable,30,2014
"Bronx River, Bronx Botanical Gardens",Acceptable,20,2014
"Bronx River, Bronx Botanical Gardens",High,377,2014
"Bronx River, Bronx Botanical Gardens",Acceptable,10,2014
"Bronx River, Bronx Botanical Gardens",Unacceptable if levels persist,85,2014
"Bronx River, Bronx Botanical Gardens",Acceptable,10,2014
"Bronx River, Bronx Botanical Gardens",High,168,2014
"Bronx River, Bronx Botanical Gardens",Acceptable,10,2015
"Bronx River, Bronx Botanical Gardens",High,1374,2015
"Bronx River, Bronx Botanical Gardens",Unacceptable if levels persist,63,2015
"Bronx River, Bronx Botanical Gardens",High,226,2015
"Bronx River, Bronx Botanical Gardens",High,301,2015
"Bronx River, Bronx Botanical Gardens",Acceptable,31,2015
"Bronx River, Bronx Botanical Gardens",High,7701,2015
"Bronx River, Bronx Botanical Gardens",High,6310,2015
"Bronx River, Bronx Botanical Gardens",High,364,2015
"Bronx River, Bronx Botanical Gardens",Unacceptable if levels persist,52,2015
"Bronx River, Bronx Botanical Gardens",Acceptable,31,2015
"Bronx River, Bronx Botanical Gardens",Acceptable,20,2015
"Bronx River, Bronx Botanical Gardens",High,377,2015
"Bronx River, Bronx Botanical Gardens",Acceptable,20,2015
"Bronx River, Bronx Botanical Gardens",High,110,2015
"Bronx River, Bronx Botanical Gardens",High,10462,2015
"Bronx River, Bronx Botanical Gardens",High,132,2015
"Bronx River, Bronx Botanical Gardens",Acceptable,31,2015
"Bronx River, Bronx Botanical Gardens",High,1118,2015
"Bronx River, Hunts Point Riverside Park",High,179,2013
"Bronx River, Hunts Point Riverside Park",High,247,2013
"Bronx River, Hunts Point Riverside Park",High,109,2013
"Bronx River, Hunts Point Riverside Park",High,2333,2013
"Bronx River, Hunts Point Riverside Park",High,3649,2013
"Bronx River, Hunts Point Riverside Park",High,199,2013
"Bronx River, Hunts Point Riverside Park",High,537,2013
"Bronx River, Hunts Point Riverside Park",Unacceptable if levels persist,52,2013
"Bronx River, Hunts Point Riverside Park",Unacceptable if levels persist,63,2013
"Bronx River, Hunts Point Riverside Park",High,3130,2013
"Bronx River, Hunts Point Riverside Park",High,1372,2013
"Bronx River, Hunts Point Riverside Park",High,108,2013
"Bronx River, Hunts Point Riverside Park",High,512,2013
"Bronx River, Hunts Point Riverside Park",High,171,2013
"Bronx River, Hunts Point Riverside Park",High,460,2013
"Bronx River, Hunts Point Riverside Park",High,173,2013
"Bronx River, Hunts Point Riverside Park",Unacceptable if levels persist,84,2013
"Bronx River, Hunts Point Riverside Park",High,122,2014
"Bronx River, Hunts Point Riverside Park",High,11199,2014
"Bronx River, Hunts Point Riverside Park",Unacceptable if levels persist,96,2014
"Bronx River, Hunts Point Riverside Park",Unacceptable if levels persist,75,2014
"Bronx River, Hunts Point Riverside Park",Unacceptable if levels persist,85,2014
"Bronx River, Hunts Point Riverside Park",High,794,2014
"Bronx River, Hunts Point Riverside Park",High,585,2014
"Bronx River, Hunts Point Riverside Park",High,959,2014
"Bronx River, Hunts Point Riverside Park",High,121,2014
"Bronx River, Hunts Point Riverside Park",High,3076,2014
"Bronx River, Hunts Point Riverside Park",Unacceptable if levels persist,41,2014
"Bronx River, Hunts Point Riverside Park",High,763,2014
"Bronx River, Hunts Point Riverside Park",Unacceptable if levels persist,98,2014
"Bronx River, Hunts Point Riverside Park",High,199,2015
"Bronx River, Hunts Point Riverside Park",Acceptable,20,2015
"Bronx River, Hunts Point Riverside Park",Unacceptable if levels persist,52,2015
"Bronx River, Hunts Point Riverside Park",Unacceptable if levels persist,84,2015
"Bronx River, Hunts Point Riverside Park",High,10462,2015
"Bronx River, Hunts Point Riverside Park",High,310,2015
"Bronx River, Hunts Point Riverside Park",Acceptable,10,2015
"Bronx River, Hunts Point Riverside Park",Acceptable,10,2015
"Bronx River, Hunts Point Riverside Park",Acceptable,20,2015
"Bronx River, Hunts Point Riverside Park",Acceptable,10,2015
"Bronx River, Hunts Point Riverside Park",Unacceptable if levels persist,52,2015
"Bronx River, Hunts Point Riverside Park",Unacceptable if levels persist,63,2015
"Bronx River, Hunts Point Riverside Park",Acceptable,10,2015
"Bronx River, Hunts Point Riverside Park",High,7556,2015
"Bronx River, Hunts Point Riverside Park",Unacceptable if levels persist,96,2016
"Bronx River, Hunts Point Riverside Park",Unacceptable if levels persist,72,2016
"Bronx River, Hunts Point Riverside Park",Unacceptable if levels persist,52,2016
"Bronx River, Hunts Point Riverside Park",Unacceptable if levels persist,63,2016
"Bronx River, Hunts Point Riverside Park",High,383,2016
"Bronx River, Hunts Point Riverside Park",High,204,2016
"Bronx River, Hunts Point Riverside Park",Acceptable,20,2016
"Bronx River, Hunts Point Riverside Park",Unacceptable if levels persist,71,2016
"Bronx River, Hunts Point Riverside Park",High,130,2017
"Bronx River, Hunts Point Riverside Park",Acceptable,10,2017
"Bronx River, Hunts Point Riverside Park",High,173,2017
"Bronx River, Hunts Point Riverside Park",Acceptable,20,2018
"Bronx River, Hunts Point Riverside Park",High,122,2018
"Bronx River, Hunts Point Riverside Park",High,8297,2018
"Bronx River, Hunts Point Riverside Park",High,2333,2018
"Bronx River, Hunts Point Riverside Park",High,1019,2018
"Bronx River, Hunts Point Riverside Park",High,605,2018
"Bronx River, Hunts Point Riverside Park",High,3255,2018
"Bronx River, Hunts Point Riverside Park",High,19863,2019
"Bronx River, Hunts Point Riverside Park",High,221,2019
"Bronx River, Hunts Point Riverside Park",High,333,2019
"Bronx River, Hunts Point Riverside Park",High,120,2019
"Bronx River, Hunts Point Riverside Park",High,134,2019
"Bronx River, Hunts Point Riverside Park",High,1576,2019
"Bronx River, Hunts Point Riverside Park",Unacceptable if levels persist,63,2019
"Bronx River, Hunts Point Riverside Park",High,134,2021
"Bronx River, Hunts Point Riverside Park",High,2410,2021
"Bronx River, Hunts Point Riverside Park",High,355,2021
"Bronx River, Hunts Point Riverside Park",High,175,2021
"Bronx River, Hunts Point Riverside Park",High,489,2021
"Bronx River, Hunts Point Riverside Park",High,309,2021
"Bronx River, Soundview Park (mouth)",Acceptable,31,2018
"Bronx River, Soundview Park (mouth)",High,132,2018
"Bronx River, Soundview Park (mouth)",High,8164,2018
"Bronx River, Soundview Park (mouth)",High,24196,2018
"Bronx River, Soundview Park (mouth)",High,145,2018
"Bronx River, Soundview Park (mouth)",Unacceptable if levels persist,41,2018
"Bronx River, Soundview Park (mouth)",High,717,2018
"Bronx River, Soundview Park (mouth)",High,2142,2018
"Bronx River, Soundview Park (mouth)",High,11199,2019
"Bronx River, Soundview Park (mouth)",High,235,2019
"Bronx River, Soundview Park (mouth)",High,127,2019
"Bronx River, Soundview Park (mouth)",Unacceptable if levels persist,41,2019
"Bronx River, Soundview Park (mouth)",High,195,2019
"Bronx River, Soundview Park (mouth)",High,2500,2019
"Bronx River, Soundview Park (mouth)",Acceptable,31,2019
"Bronx River, Soundview Park (mouth)",High,247,2021
"Bronx River, Soundview Park (mouth)",Acceptable,10,2021
"Bronx River, Soundview Park (mouth)",Acceptable,31,2021
"Bronx River, Soundview Park (mouth)",Unacceptable if levels persist,63,2021
"Bronx River, Soundview Park (mouth)",High,122,2021
"Bronx River, Soundview Park (mouth)",High,9208,2021
"Bronx River, Soundview Park (mouth)",High,249,2021
"Bronx River, Soundview Park, HP009 CSO",High,245,2021
"Bronx River, Soundview Park, HP009 CSO",High,3555,2021
"Bronx River, Soundview Park, HP009 CSO",Unacceptable if levels persist,60,2021
"Bronx River, Soundview Park, HP009 CSO",High,789,2021
"Bronx River, Soundview Park, HP009 CSO",High,275,2021
"Bronx River, Soundview Park, HP009 CSO",High,146,2021
"Bronx River, Soundview Park, HP009 CSO",High,14436,2021
"Bronx River, Soundview Park, HP009 CSO",High,860,2021
"Bronx River, Starlight Park, North Dock",High,171,2013
"Bronx River, Starlight Park, North Dock",High,187,2013
"Bronx River, Starlight Park, North Dock",High,199,2013
"Bronx River, Starlight Park, North Dock",High,784,2013
"Bronx River, Starlight Park, North Dock",High,645,2013
"Bronx River, Starlight Park, North Dock",High,3968,2013
"Bronx River, Starlight Park, North Dock",High,749,2013
"Bronx River, Starlight Park, North Dock",High,201,2013
"Bronx River, Starlight Park, North Dock",Unacceptable if levels persist,73,2013
"Bronx River, Starlight Park, North Dock",High,241,2013
"Bronx River, Starlight Park, North Dock",High,305,2013
"Bronx River, Starlight Park, North Dock",High,1918,2013
"Bronx River, Starlight Park, North Dock",High,294,2013
"Bronx River, Starlight Park, North Dock",High,173,2013
"Bronx River, Starlight Park, North Dock",High,171,2013
"Bronx River, Starlight Park, North Dock",High,497,2013
"Bronx River, Starlight Park, North Dock",High,495,2013
"Bronx River, Starlight Park, North Dock",High,201,2013
"Bronx River, Starlight Park, North Dock",High,4611,2014
"Bronx River, Starlight Park, North Dock",High,109,2014
"Bronx River, Starlight Park, North Dock",High,120,2014
"Bronx River, Starlight Park, North Dock",Acceptable,20,2014
"Bronx River, Starlight Park, North Dock",High,459,2014
"Bronx River, Starlight Park, North Dock",High,933,2014
"Bronx River, Starlight Park, North Dock",High,1187,2014
"Bronx River, Starlight Park, North Dock",Unacceptable if levels persist,41,2014
"Bronx River, Starlight Park, North Dock",High,1112,2014
"Bronx River, Starlight Park, North Dock",Unacceptable if levels persist,73,2014
"Bronx River, Starlight Park, North Dock",High,195,2014
"Bronx River, Starlight Park, North Dock",Unacceptable if levels persist,63,2014
"Bronx River, Starlight Park, North Dock",Acceptable,10,2015
"Bronx River, Starlight Park, North Dock",High,431,2015
"Bronx River, Starlight Park, North Dock",High,130,2015
"Bronx River, Starlight Park, North Dock",Unacceptable if levels persist,97,2015
"Bronx River, Starlight Park, North Dock",High,399,2015
"Bronx River, Starlight Park, North Dock",Acceptable,31,2015
"Bronx River, Starlight Park, North Dock",High,14136,2015
"Bronx River, Starlight Park, North Dock",High,5830,2015
"Bronx River, Starlight Park, North Dock",Unacceptable if levels persist,63,2015
"Bronx River, Starlight Park, North Dock",Acceptable,10,2015
"Bronx River, Starlight Park, North Dock",Unacceptable if levels persist,96,2015
"Bronx River, Starlight Park, North Dock",Acceptable,20,2015
"Bronx River, Starlight Park, North Dock",Acceptable,20,2015
"Bronx River, Starlight Park, North Dock",Acceptable,20,2015
"Bronx River, Starlight Park, North Dock",High,156,2015
"Bronx River, Starlight Park, North Dock",Acceptable,30,2015
"Bronx River, Starlight Park, North Dock",High,1989,2015
"Bronx River, Starlight Park, North Dock",High,121,2021
"Bronx River, Starlight Park, North Dock",High,4710,2021
"Bronx River, Starlight Park, North Dock",High,369,2021
"Bronx River, Starlight Park, North Dock",High,185,2021
"Bronx River, Starlight Park, North Dock",High,323,2021
"Bronx River, Starlight Park, North Dock",High,602,2021
"Bronx River, Starlight Park, North Dock",High,226,2021
"Bronx River, Starlight Park, North Dock",High,216,2021
"Bronx River, Starlight Park, south of dam",Acceptable,10,2015
"Bronx River, Starlight Park, south of dam",High,984,2015
"Bronx River, Starlight Park, south of dam",Unacceptable if levels persist,63,2015
"Bronx River, Starlight Park, south of dam",Acceptable,20,2015
"Bronx River, Starlight Park, south of dam",High,256,2015
"Bronx River, Starlight Park, south of dam",Acceptable,20,2015
"Bronx River, Starlight Park, south of dam",High,12810,2015
"Bronx River, Starlight Park, south of dam",Unacceptable if levels persist,85,2015
"Bronx River, Starlight Park, south of dam",Acceptable,10,2015
"Bronx River, Starlight Park, south of dam",High,199,2015
"Bronx River, Starlight Park, south of dam",Acceptable,10,2015
"Bronx River, Starlight Park, south of dam",Acceptable,20,2015
"Bronx River, Starlight Park, south of dam",Acceptable,20,2015
"Bronx River, Starlight Park, south of dam",Acceptable,20,2015
"Bronx River, Starlight Park, south of dam",Acceptable,10,2015
"Bronx River, Starlight Park, south of dam",Unacceptable if levels persist,41,2015
"Bronx River, Starlight Park, south of dam",High,2700,2015
"Buttermilk Channel, Pier 101 (Govenors Island)",Acceptable,10,2016
"Buttermilk Channel, Pier 101 (Govenors Island)",High,332,2016
"Buttermilk Channel, Pier 101 (Govenors Island)",Unacceptable if levels persist,84,2016
"Buttermilk Channel, Pier 101 (Govenors Island)",Acceptable,10,2016
"Buttermilk Channel, Pier 101 (Govenors Island)",Acceptable,30,2016
"Buttermilk Channel, Pier 101 (Govenors Island)",Acceptable,10,2016
"Buttermilk Channel, Pier 101 (Govenors Island)",Acceptable,20,2016
"Buttermilk Channel, Pier 101 (Govenors Island)",Acceptable,31,2016
"Buttermilk Channel, Pier 101 (Govenors Island)",Unacceptable if levels persist,41,2016
"Buttermilk Channel, Pier 101 (Govenors Island)",Unacceptable if levels persist,41,2016
"Buttermilk Channel, Pier 101 (Govenors Island)",Acceptable,10,2016
"Buttermilk Channel, Pier 101 (Govenors Island)",High,110,2016
"Buttermilk Channel, Pier 101 (Govenors Island)",Acceptable,30,2016
"Buttermilk Channel, Pier 101 (Govenors Island)",High,368,2016
"Buttermilk Channel, Pier 101 (Govenors Island)",Unacceptable if levels persist,52,2016
"Buttermilk Channel, Pier 101 (Govenors Island)",Acceptable,10,2018
"Buttermilk Channel, Pier 101 (Govenors Island)",Acceptable,31,2018
"Buttermilk Channel, Pier 101 (Govenors Island)",Acceptable,20,2018
"Buttermilk Channel, Pier 101 (Govenors Island)",Acceptable,20,2018
"Buttermilk Channel, Pier 101 (Govenors Island)",Acceptable,31,2018
"Buttermilk Channel, Pier 101 (Govenors Island)",Acceptable,10,2018
"Buttermilk Channel, Pier 101 (Govenors Island)",Acceptable,10,2018
"Buttermilk Channel, Pier 101 (Govenors Island)",High,279,2018
"Buttermilk Channel, Pier 101 (Govenors Island)",High,249,2018
"Buttermilk Channel, Pier 101 (Govenors Island)",Acceptable,30,2018
"Buttermilk Channel, Pier 101 (Govenors Island)",Unacceptable if levels persist,52,2018
"Buttermilk Channel, Pier 101 (Govenors Island)",Unacceptable if levels persist,41,2019
"Buttermilk Channel, Pier 101 (Govenors Island)",High,231,2019
"Buttermilk Channel, Pier 101 (Govenors Island)",Acceptable,10,2019
"Buttermilk Channel, Pier 101 (Govenors Island)",High,109,2019
"Buttermilk Channel, Pier 101 (Govenors Island)",Acceptable,31,2019
"Buttermilk Channel, Pier 101 (Govenors Island)",High,1081,2019
"Buttermilk Channel, Pier 101 (Govenors Island)",Unacceptable if levels persist,75,2019
"Buttermilk Channel, Pier 101 (Govenors Island)",High,145,2019
"Buttermilk Channel, Pier 101 (Govenors Island)",Unacceptable if levels persist,41,2019
"Buttermilk Channel, Pier 101 (Govenors Island)",High,135,2019
"Buttermilk Channel, Pier 101 (Govenors Island)",Acceptable,10,2019
"Buttermilk Channel, Pier 101 (Govenors Island)",Acceptable,10,2019
"Buttermilk Channel, Pier 101 (Govenors Island)",Unacceptable if levels persist,75,2019
"Buttermilk Channel, Pier 101 (Govenors Island)",Acceptable,20,2020
"Buttermilk Channel, Pier 101 (Govenors Island)",Acceptable,10,2020
"Buttermilk Channel, Pier 101 (Govenors Island)",Acceptable,20,2020
"Buttermilk Channel, Pier 101 (Govenors Island)",Acceptable,10,2020
"Buttermilk Channel, Pier 101 (Govenors Island)",Acceptable,20,2020
"Buttermilk Channel, Pier 101 (Govenors Island)",Unacceptable if levels persist,98,2020
"Buttermilk Channel, Pier 101 (Govenors Island)",Acceptable,10,2020
"Buttermilk Channel, Pier 101 (Govenors Island)",High,109,2020
"Buttermilk Channel, Pier 101 (Govenors Island)",Acceptable,10,2020
"Buttermilk Channel, Pier 101 (Govenors Island)",Unacceptable if levels persist,41,2020
"Buttermilk Channel, Pier 101 (Govenors Island)",Acceptable,10,2020
"Buttermilk Channel, Pier 101 (Govenors Island)",Unacceptable if levels persist,98,2020
"Buttermilk Channel, Pier 101 (Govenors Island)",Acceptable,10,2021
"Buttermilk Channel, Pier 101 (Govenors Island)",Acceptable,10,2021
"Buttermilk Channel, Pier 101 (Govenors Island)",Acceptable,10,2021
"Buttermilk Channel, Pier 101 (Govenors Island)",Acceptable,10,2021
"Buttermilk Channel, Pier 101 (Govenors Island)",Acceptable,10,2021
"Buttermilk Channel, Pier 101 (Govenors Island)",High,644,2021
"Buttermilk Channel, Pier 101 (Govenors Island)",Unacceptable if levels persist,63,2021
"Buttermilk Channel, Pier 101 (Govenors Island)",Acceptable,20,2021
"Buttermilk Channel, Pier 101 (Govenors Island)",High,315,2021
"Buttermilk Channel, Pier 101 (Govenors Island)",Unacceptable if levels persist,41,2021
"Buttermilk Channel, Pier 101 (Govenors Island)",High,426,2021
"Buttermilk Channel, Pier 101 (Govenors Island)",Acceptable,30,2021
"Buttermilk Channel, Pier 101 (Govenors Island)",High,6131,2021
"Buttermilk Channel, Pier 101 (Govenors Island)",Acceptable,31,2021
"Buttermilk Channel, Pier 101 (Govenors Island)",Acceptable,31,2021
"Buttermilk Channel, Pier 101 (Govenors Island)",Acceptable,20,2021
"Buttermilk Channel, Pier 101 (Govenors Island)",Acceptable,30,2021
"Buttermilk Channel, Valentino Pier",Unacceptable if levels persist,63,2012
"Buttermilk Channel, Valentino Pier",Acceptable,10,2012
"Buttermilk Channel, Valentino Pier",Unacceptable if levels persist,75,2012
"Buttermilk Channel, Valentino Pier",Acceptable,10,2012
"Buttermilk Channel, Valentino Pier",Unacceptable if levels persist,41,2012
"Buttermilk Channel, Valentino Pier",High,1789,2012
"Buttermilk Channel, Valentino Pier",Unacceptable if levels persist,52,2012
"Buttermilk Channel, Valentino Pier",High,676,2012
"Buttermilk Channel, Valentino Pier",Acceptable,10,2012
"Buttermilk Channel, Valentino Pier",High,480,2012
"Buttermilk Channel, Valentino Pier",Unacceptable if levels persist,85,2012
"Buttermilk Channel, Valentino Pier",High,275,2012
"Buttermilk Channel, Valentino Pier",High,146,2012
"Buttermilk Channel, Valentino Pier",High,336,2012
"Buttermilk Channel, Valentino Pier",High,1223,2013
"Buttermilk Channel, Valentino Pier",High,1017,2013
"Buttermilk Channel, Valentino Pier",High,107,2013
"Buttermilk Channel, Valentino Pier",Unacceptable if levels persist,52,2013
"Buttermilk Channel, Valentino Pier",High,191,2013
"Buttermilk Channel, Valentino Pier",Unacceptable if levels persist,75,2013
"Buttermilk Channel, Valentino Pier",Acceptable,31,2013
"Buttermilk Channel, Valentino Pier",Acceptable,31,2013
"Buttermilk Channel, Valentino Pier",Unacceptable if levels persist,51,2013
"Buttermilk Channel, Valentino Pier",Acceptable,31,2013
