Year,Most Probable Number (MPN) of Enterococcus colonies per 100 ml,Day of Collection Precipitation (Thursday),Previous Day Precipitation (Wednesday),Previous Tuesday Precipitation,Previous Monday Precipitation,Previous Sunday Precipitation,Previous Saturday Precipitation,Previous Friday Precipitation,mean
2011,678.0,0.13348837209302325,0.28418604651162793,0.09999999999999999,0.0,0.011395348837209303,0.11883720930232557,0.0,0.0925581395348837
2012,425.94425087108016,0.08358885017421602,0.21759581881533102,0.20982578397212542,0.11477351916376306,0.03606271777003484,0.09226480836236933,0.08902439024390243,0.12044798407167746
2013,506.8075471698113,0.30454716981132074,0.026754716981132076,0.11722641509433963,0.19052830188679243,0.08050943396226415,0.07141509433962265,0.27496226415094344,0.152277628032345
2014,417.9503424657534,0.09607876712328767,0.09167808219178082,0.1359417808219178,0.14037671232876714,0.043099315068493155,0.06169520547945206,0.19351027397260276,0.10891144814090022
2015,559.7635327635328,0.2,0.10760683760683762,0.17072649572649573,0.09803418803418802,0.1678062678062678,0.13660968660968661,0.019059829059829062,0.12854904354904356
2016,438.8694362017804,0.0786053412462908,0.06596439169139466,0.06111275964391691,0.2292433234421365,0.13292284866468843,0.11559347181008901,0.14445103857566766,0.11827045358202629
2017,423.6270207852194,0.03685912240184757,0.0536027713625866,0.07770207852193994,0.22250577367205543,0.05229792147806005,0.31023094688221714,0.14635103926096998,0.12850709336852525
2018,1040.1834774255524,0.23911623439000962,0.17539865513928915,0.38551392891450526,0.0960806916426513,0.30970220941402493,0.1317963496637848,0.19365994236311238,0.21875257307533966
2019,1284.9100917431192,0.2838990825688073,0.22625688073394495,0.16271559633027524,0.14913761467889908,0.09954128440366973,0.012715596330275228,0.0571559633027523,0.14163171690694626
2020,1024.2638580931264,0.21858093126385808,0.35625277161862523,0.150509977827051,0.09636363636363636,0.008869179600886918,0.03676274944567627,0.23458980044345898,0.15741843522331325
2021,840.0682226211849,0.3096140035906643,0.30073608617594255,0.12709156193895868,0.20432675044883303,0.25695691202872534,0.3347396768402155,0.2731418312387792,0.2580866888945884
